;Équipe;Stand;Origine;Cumul;Joués;Vict.;Égal.;Déf.
;;;;pts.;;;;
1er;Team Dynamics;D13; AUSTRIA;382;3;2;0;1
2nd;TDA;D12; AUSTRIA;362;3;2;0;1
3ème;Bobst;L4; SWITZERLAND;348;3;3;0;0
4ème;Red Wire;D3; SPAIN;342;3;2;0;1
5ème;RTFM;L6; SWITZERLAND;327;3;2;0;1
6ème;Bot save the queen;D19; BELGIUM;311;3;2;0;1
7ème;MonSymphony;D5; BELGIUM;307;3;3;0;0
8ème;Bodensee RobotiX;L7; GERMANY;302;3;1;0;2
9ème;IEEE RAS INSAT;D18; TUNISIA;300;3;1;0;2
10ème;NaW Robotics;L11; SERBIA;293;3;2;0;1
11ème;MAI;L10; GERMANY;284;3;2;0;1
12ème;FTN-electropioneer;L12; SERBIA;261;3;3;0;0
13ème;The engineering way (TEW);D4; SPAIN;211;3;1;0;2
14ème;Hyperion Robotics;D9; GREECE;206;3;1;0;2
15ème;TeamAuto;L5; SWITZERLAND;193;3;2;0;1
16ème;Gramme ‘N Roll;D6; BELGIUM;180;3;1;0;2
17ème;TURAG;D2; GERMANY;162;3;1;0;2
18ème;+381Robotics;L13; SERBIA;160;3;1;0;2
19ème;Golden Wires UAH;d7; SPAIN;141;3;0;0;3
20ème;DIT Robotics;D14; TAIWAN;138;3;1;0;2
21ème;GRUM;D21; CANADA;137;3;1;0;2
22ème;Aerobotix INSAT;D17; TUNISIA;118;3;2;0;1
23ème;HMU Robotics Club;D16; GREECE;101;2;1;0;1
24ème;NTHU DIT;D15; TAIWAN;88;3;0;0;3
25ème;Taleb.Bot;D10; ALGERIA;3;3;0;0;3
26ème;Polybot;D11; ALGERIA;1;2;0;0;2
