;Équipe;Stand;Origine;Cumul pts.;Joués;Vict.;Égal.;Déf.
1er;RCVA;E9; Ville d’avray;746;5;5;0;0
2nd;VRAC;K11; Cachan;710;5;5;0;0
3ème;CRAC1;K12; Cachan;541;5;5;0;0
4ème;7Robot;E10; Toulouse;540;5;5;0;0
5ème;COGIP;A9; Rennes;534;5;4;0;1
6ème;Club Tech RED;C10; Gif sur yvette;524;5;4;0;1
7ème;Robot ESEO;P5; Angers;514;5;4;0;1
8ème;Ze Crazy Team;N4; Lans en vercors;510;5;5;0;0
9ème;TeamDiff;B6; Metz;506;5;3;0;2
10ème;Club Tech CentraleSupélec;C9; Gif sur yvette;505;5;4;0;1
10ème;Coffee Machine;A2; Le kremlin-bicêtre;505;5;4;0;1
12ème;MiAM Robotique;A10; Paris;488;5;4;0;1
13ème;SUDRIABOTIK;M11; Ivry-sur-seine;486;5;4;0;1
14ème;ARIG;P8; Chasse sur rhône;470;5;3;0;2
15ème;Les Karibous;C17; Amiens;454;5;4;0;1
16ème;Lucid;G2; Brissac-loire-aubance;448;5;3;0;2
17ème;Kameleon;M2; Tours;442;5;3;0;2
18ème;coc’otter;L3; Castres;440;5;4;0;1
19ème;Mécapi;C6; Bordeaux;431;5;2;0;3
20ème;Rocking Giraffe Robotics;C11; Bourgoin jallieu;430;5;2;0;3
21ème;Evolutek;B1; Le kremlin-bicêtre;409;5;3;0;2
22ème;Mars Attacks!;A7; Anglet;395;5;3;0;2
23ème;Enac Robotique;K8; Toulouse;393;5;1;0;4
24ème;Zest Machine;P6; Lyon;391;5;2;0;3
25ème;Les brasseurs d’idées;G12; Saint barthélemy d’anjou;369;5;4;0;1
26ème;École Iféa;H10; Clichy;357;5;2;0;3
27ème;Asso R2T2;G11; Avignon;355;5;2;0;3
28ème;Roboticam Vendée;B4; Couffe;351;5;2;0;3
29ème;UTCoupe;E7; Compiègne;349;5;3;0;2
30ème;PM-ROBOTIX;A3; Villerupt;345;5;2;0;3
31ème;Sartroubot;K17; Sartrouville;344;5;3;1;1
32ème;Edog&Leo;A8; Zürich;333;4;2;0;2
33ème;Krabi;C7; Nanterre;327;5;3;0;2
34ème;TDS-Team Robotique 72;C13; St denis des coudrais;324;5;3;0;2
35ème;R3EA;E5; Reims;322;5;4;0;1
36ème;Roboticam Vendée 2;B5; La roche sur yon;317;5;3;0;2
37ème;SiERA;E2; Montigny-le-bretonneux;310;5;3;0;2
38ème;EsialRobotik;M14; Tomblaine;308;5;4;0;1
39ème;Goldorak;A1; Nanterre;302;5;3;0;2
40ème;Robot Club Toulon;K18; La garde;295;5;2;0;3
41ème;CRLG;P13; Les mesnuls;278;5;3;0;2
42ème;Robotronik PHELMA;H1; Cachan;276;5;3;0;2
43ème;Opossums;K19; Toulouse;269;5;2;0;3
44ème;A cappella (Sikula Robotik);A4; Talmont st hilaire;267;5;3;0;2
45ème;CD-ROMS;M10; Vanves;262;4;3;0;1
46ème;UniDucks;H4; Amiens;260;5;4;0;1
47ème;Les Karibelles;C18; Amiens;258;5;2;0;3
48ème;Riombotique;D1; Riom;254;5;1;0;4
49ème;Lab Sciren Robotics;C5; Nantes;252;5;3;0;2
50ème;CRIG-2;G8; Villetaneuse;251;5;1;0;4
51ème;Robooh (ENSIL-ENSCI);G3; Limoges;250;5;2;0;3
52ème;Sharp’Attack;E6; Grisy-suisnes;241;4;2;0;2
53ème;ChampiCircuits;E8; Chaumont;238;5;3;0;2
54ème;DaVinciBot;G9; Courbevoie;230;5;2;0;3
55ème;Mecatronica (ENSIL-ENSCI);G5; Limoges;229;4;2;0;2
56ème;Metal Pipe;M5; Talence;228;5;2;0;3
57ème;E.S.C.Ro.C.S.;k7; Avon;225;5;0;0;5
58ème;IUT_Nice;M12; Nice;224;5;3;0;2
59ème;UniWIP;H9; Amiens;222;5;3;0;2
60ème;Pokibot;M1; Tours;217;5;1;0;4
61ème;ENSIM’Elec;B8; Le mans;214;4;3;0;1
62ème;Clubelek;H5; Villeurbanne;213;4;3;0;1
63ème;Eirbot;M3; Talence;208;5;1;0;4
64ème;CRAC2;K13; Cachan;203;3;3;0;0
65ème;CRENIM;H6; Metz;195;5;2;0;3
66ème;Nantrobot;P12; Nantes;187;5;1;0;4
67ème;Breizh Bot;E11; Rennes;186;5;2;1;2
68ème;UniGaffr;C12; Amiens;185;5;1;0;4
69ème;OverTheRainBot Ense3;E3; Grenoble;184;5;1;0;4
70ème;Polybold;P2; Saint-martin-d’hères;183;3;2;0;1
70ème;Team Chat Robotique;C1; Châtenoy-le-royal;183;5;2;0;3
72ème;ARC;M6; Talence;170;5;3;0;2
73ème;TDS-Team Familly;C14; St denis des coudrais;167;3;3;0;0
74ème;Tuxae;K14; Palaiseau;163;5;2;0;3
75ème;Projet & Tech’;L2; Saint-etienne;158;5;2;0;3
76ème;LYCEE DE L’ARC SI ARC-BOT;H11; Orange;157;5;2;0;3
77ème;FIPATECH;P10; Brest;154;4;1;0;3
78ème;Eceborg;B3; Paris;153;5;2;1;2
79ème;Magic Syst’eirb;M4; Talence;149;4;2;0;2
80ème;CRIG-1;G7; Villetaneuse;148;5;1;0;4
80ème;Ares ENSEA;K3; Cergy;148;5;2;0;3
82ème;PinMode;R2; Chateau renault;143;5;1;0;4
83ème;RATP;H7; Amiens;136;3;2;0;1
84ème;Polybot Grenoble;P1; Saint-martin-d’hères;133;4;2;1;1
85ème;Esig’tronix;K20; Saint-etienne du rouveray;124;4;2;0;2
86ème;Club Robotique – MAKERS ECAM LYON;B10; Lyon 5e;123;3;0;0;3
87ème;EagleTech;A11; Mouans sartoux;122;5;0;0;5
88ème;SUSSUS INVADERS;C8; Issy les moulineaux;101;5;2;0;3
89ème;Les Cavistes;C3; Ivry-sur-seine;94;3;1;0;2
90ème;Robotech;B9; Vandoeuvre-les-nancy;93;3;1;0;2
91ème;Modelec ISEN;C2; Carquefou;84;3;2;0;1
92ème;Centrale Lille Makers;K2; Villeneuve d’ascq;79;2;0;0;2
93ème;ARTeC;K16; Cluny;78;3;1;0;2
93ème;HARPers;M13; Chatou;78;5;1;0;4
95ème;Eigstatix;K15; La rochelle;76;5;2;0;3
95ème;CreamBot;K9; Paris;76;3;1;0;2
97ème;CRUBS;K5; Lorient;58;4;0;0;4
98ème;Supaero Robotik Club;A5; Toulouse;56;4;2;0;2
99ème;K-R1BOU;E1; Aulnoy-lez-valenciennes;54;4;0;0;4
100ème;ESTIA SYSTEM;M9; Bidart;47;2;1;0;1
101ème;ENSTAR Robotique;P11; Palaiseau;43;3;1;0;2
101ème;HoloBot (ENSIL-ENSCI);G4; Limoges;43;3;0;1;2
103ème;AREM;H3; Gardanne;41;1;1;0;0
104ème;RobotikUTT;E4; Troyes;35;1;0;0;1
105ème;Conqué RIR;P4; Roanne;23;1;0;0;1
106ème;Robotnik (ENSIL-ENSCI);G6; Limoges;22;2;0;0;2
107ème;IronBot;C4; Le creusot;21;3;0;1;2
107ème;INSA Toulouse;D8; Toulouse;21;2;1;0;1
109ème;Rock n RIR;P3; Roanne;11;3;0;0;3
110ème;IZARRA;M8; Bidart;3;4;0;0;4
111ème;ENSMASTEEL;M7; Chasseneuil-du-poitou;2;4;0;0;4
112ème;INTech;K1; Evry;1;2;0;0;2
113ème;Robotek Orléans;B7; Orléans;0;1;0;0;1
113ème;CyBotics;P14; Paris;0;1;0;0;1
