;Équipe;Stand;Origine;Cumul pts.;Joués;Vict.;Égal.;Déf.
35ème;Roboticam Vendée;B4; Couffe;177;3;1;0;2
37ème;Asso R2T2;G11; Avignon;176;3;1;0;2
38ème;UniDucks;H4; Amiens;169;3;3;0;0
39ème;Les brasseurs d’idées;G12; Saint barthélemy d’anjou;168;3;3;0;0
40ème;R3EA;E5; Reims;165;3;2;0;1
41ème;Opossums;K19; Toulouse;155;3;1;0;2
42ème;CRIG-2;G8; Villetaneuse;154;3;1;0;2
43ème;Pokibot;M1; Tours;150;3;1;0;2
44ème;Les Karibelles;C18; Amiens;148;3;2;0;1
45ème;EsialRobotik;M14; Tomblaine;146;3;2;0;1
45ème;Lab Sciren Robotics;C5; Nantes;146;3;3;0;0
47ème;A cappella (Sikula Robotik);A4; Talmont st hilaire;139;3;2;0;1
48ème;Riombotique;D1; Riom;135;3;0;0;3
49ème;Robotronik PHELMA;H1; Cachan;132;3;2;0;1
50ème;UniGaffr;C12; Amiens;130;3;0;0;3
51ème;CRLG;P13; Les mesnuls;127;3;1;0;2
51ème;CD-ROMS;M10; Vanves;127;2;2;0;0
53ème;Metal Pipe;M5; Talence;126;3;1;0;2
54ème;E.S.C.Ro.C.S.;k7; Avon;122;3;0;0;3
55ème;DaVinciBot;G9; Courbevoie;115;3;2;0;1
56ème;CRENIM;H6; Metz;113;3;1;0;2
57ème;UniWIP;H9; Amiens;111;3;2;0;1
58ème;IUT_Nice;M12; Nice;109;3;1;0;2
59ème;Sharp’Attack;E6; Grisy-suisnes;105;2;1;0;1
60ème;Robooh (ENSIL-ENSCI);G3; Limoges;103;3;2;0;1
61ème;Mecatronica (ENSIL-ENSCI);G5; Limoges;88;2;1;0;1
62ème;Magic Syst’eirb;M4; Talence;87;2;2;0;0
62ème;Nantrobot;P12; Nantes;87;3;0;0;3
64ème;ChampiCircuits;E8; Chaumont;82;3;1;0;2
64ème;ENSIM’Elec;B8; Le mans;82;2;1;0;1
66ème;Eirbot;M3; Talence;80;3;0;0;3
67ème;Polybot Grenoble;P1; Saint-martin-d’hères;79;2;1;1;0
68ème;Projet & Tech’;L2; Saint-etienne;76;3;1;0;2
68ème;Ares ENSEA;K3; Cergy;76;3;1;0;2
70ème;ARC;M6; Talence;73;3;1;0;2
71ème;Team Chat Robotique;C1; Châtenoy-le-royal;69;3;1;0;2
71ème;OverTheRainBot Ense3;E3; Grenoble;69;3;0;0;3
73ème;Eigstatix;K15; La rochelle;66;3;1;0;2
73ème;CRAC2;K13; Cachan;66;1;1;0;0
73ème;Eceborg;B3; Paris;66;3;1;1;1
76ème;Esig’tronix;K20; Saint-etienne du rouveray;62;2;1;0;1
77ème;Polybold;P2; Saint-martin-d’hères;59;1;1;0;0
77ème;SUSSUS INVADERS;C8; Issy les moulineaux;59;3;2;0;1
79ème;TDS-Team Familly;C14; St denis des coudrais;58;1;1;0;0
80ème;EagleTech;A11; Mouans sartoux;57;3;0;0;3
80ème;Breizh Bot;E11; Rennes;57;3;0;1;2
82ème;LYCEE DE L’ARC SI ARC-BOT;H11; Orange;54;3;1;0;2
82ème;CRIG-1;G7; Villetaneuse;54;3;1;0;2
84ème;Tuxae;K14; Palaiseau;53;3;1;0;2
85ème;FIPATECH;P10; Brest;52;2;0;0;2
85ème;K-R1BOU;E1; Aulnoy-lez-valenciennes;52;2;0;0;2
87ème;Club Robotique – MAKERS ECAM LYON;B10; Lyon 5e;46;1;0;0;1
88ème;HARPers;M13; Chatou;42;3;0;0;3
89ème;RATP;H7; Amiens;39;1;1;0;0
90ème;Clubelek;H5; Villeurbanne;35;2;1;0;1
91ème;Robotech;B9; Vandoeuvre-les-nancy;29;1;0;0;1
92ème;PinMode;R2; Chateau renault;27;3;0;0;3
93ème;CRUBS;K5; Lorient;22;2;0;0;2
94ème;ENSTAR Robotique;P11; Palaiseau;21;1;0;0;1
94ème;Les Cavistes;C3; Ivry-sur-seine;21;1;0;0;1
94ème;HoloBot (ENSIL-ENSCI);G4; Limoges;21;1;0;1;0
94ème;IronBot;C4; Le creusot;21;1;0;1;0
98ème;ARTeC;K16; Cluny;19;1;0;0;1
99ème;Supaero Robotik Club;A5; Toulouse;12;2;1;0;1
100ème;IZARRA;M8; Bidart;2;3;0;0;3
101ème;CreamBot;K9; Paris;1;1;0;0;1
101ème;Modelec ISEN;C2; Carquefou;1;1;0;0;1
101ème;Rock n RIR;P3; Roanne;1;1;0;0;1
101ème;ENSMASTEEL;M7; Chasseneuil-du-poitou;1;2;0;0;2
