;Équipe;Stand;Origine;Cumul pts.;Joués;Vict.;Égal.;Déf.
1er;VRAC;K11; Cachan;418;3;3;0;0
2nd;RCVA;E9; Ville d’avray;411;3;3;0;0
3ème;Club Tech RED;C10; Gif sur yvette;360;3;2;0;1
4ème;COGIP;A9; Rennes;354;3;3;0;0
5ème;7Robot;E10; Toulouse;336;3;3;0;0
6ème;TDS-Team Robotique 72;C13; St denis des coudrais;324;3;3;0;0
7ème;ARIG;P8; Chasse sur rhône;305;3;2;0;1
8ème;Coffee Machine;A2; Le kremlin-bicêtre;300;3;3;0;0
9ème;CRAC1;K12; Cachan;298;3;3;0;0
10ème;Robot ESEO;P5; Angers;293;3;3;0;0
10ème;SUDRIABOTIK;M11; Ivry-sur-seine;293;3;2;0;1
12ème;Kameleon;M2; Tours;286;3;2;0;1
13ème;Les Karibous;C17; Amiens;279;3;2;0;1
14ème;coc’otter;L3; Castres;262;3;2;0;1
15ème;Club Tech CentraleSupélec;C9; Gif sur yvette;261;3;2;0;1
16ème;Mécapi;C6; Bordeaux;253;3;1;0;2
17ème;Rocking Giraffe Robotics;C11; Bourgoin jallieu;250;3;1;0;2
18ème;TeamDiff;B6; Metz;246;3;1;0;2
19ème;Mars Attacks!;A7; Anglet;243;3;2;0;1
19ème;Lucid;G2; Brissac-loire-aubance;243;3;2;0;1
21ème;Edog&Leo;A8; Zürich;240;3;1;0;2
21ème;Ze Crazy Team;N4; Lans en vercors;240;3;3;0;0
23ème;Goldorak;A1; Nanterre;238;3;2;0;1
24ème;MiAM Robotique;A10; Paris;233;3;2;0;1
25ème;Sartroubot;K17; Sartrouville;227;3;2;1;0
26ème;Zest Machine;P6; Lyon;217;3;2;0;1
27ème;UTCoupe;E7; Compiègne;210;3;3;0;0
28ème;Enac Robotique;K8; Toulouse;208;3;0;0;3
29ème;PM-ROBOTIX;A3; Villerupt;203;3;2;0;1
30ème;Evolutek;B1; Le kremlin-bicêtre;199;3;2;0;1
31ème;Roboticam Vendée 2;B5; La roche sur yon;197;3;2;0;1
32ème;École Iféa;H10; Clichy;194;3;1;0;2
33ème;Krabi;C7; Nanterre;193;3;1;0;2
34ème;SiERA;E2; Montigny-le-bretonneux;178;3;1;0;2
35ème;Robot Club Toulon;K18; La garde;177;3;1;0;2
